127.0.0.1 - - [19/Jan/2024:21:45:16 +0900] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:45:16 +0900] "GET /AntriApps/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:45:20 +0900] "POST /AntriApps/AntrianServlet HTTP/1.1" 200 4422
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:45:20 +0900] "POST /AntriApps/AntrianServlet HTTP/1.1" 200 4422
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:45:22 +0900] "POST /AntriApps/AntrianServlet HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:45:26 +0900] "POST /AntriApps/AntrianServlet HTTP/1.1" 200 4426
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:45:28 +0900] "POST /AntriApps/AntrianServlet HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:45:36 +0900] "POST /AntriApps/AntrianServlet HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:45:39 +0900] "POST /AntriApps/AntrianServlet HTTP/1.1" 200 4426
0:0:0:0:0:0:0:1 - - [19/Jan/2024:22:36:10 +0900] "POST /AntriApps/AntrianServlet HTTP/1.1" 200 4422
0:0:0:0:0:0:0:1 - - [19/Jan/2024:22:36:29 +0900] "POST /AntriApps/AntrianServlet HTTP/1.1" 200 4426
0:0:0:0:0:0:0:1 - - [19/Jan/2024:22:36:31 +0900] "POST /AntriApps/AntrianServlet HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [19/Jan/2024:22:36:36 +0900] "POST /AntriApps/AntrianServlet HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [19/Jan/2024:22:38:46 +0900] "POST /AntriApps/AntrianServlet HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [19/Jan/2024:22:38:53 +0900] "POST /AntriApps/AntrianServlet HTTP/1.1" 200 4429
0:0:0:0:0:0:0:1 - - [19/Jan/2024:22:39:13 +0900] "POST /AntriApps/AntrianServlet HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [19/Jan/2024:22:40:04 +0900] "POST /AntriApps/AntrianServlet HTTP/1.1" 200 4432
0:0:0:0:0:0:0:1 - - [19/Jan/2024:22:40:07 +0900] "POST /AntriApps/AntrianServlet HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [19/Jan/2024:22:40:30 +0900] "POST /AntriApps/AntrianServlet HTTP/1.1" 200 4435
